tweet;created_at;source
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:47:13+00:00;Twitter for Android
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:45:55+00:00;Twitter for Android
Bora vê se esse Batman é tão ruim quanto dizem.;2022-05-21 01:45:54+00:00;Twitter for Android
eis que vc e batman 🦇;2022-05-21 01:45:34+00:00;Twitter Web App
@Matheusarch31 @ricardoagalvao @TNTSportsBR Po ele ama o Batman, tem tatuagem, quadro do Batman/coringa na casa dele, se fantasiou de batman várias vezes já;2022-05-21 01:45:06+00:00;Twitter for Android
@GuilhermeBoulos Lula ladrao, boulos invasor,  ciro coroné parece os inimigos do batman juntos kkk;2022-05-21 01:44:31+00:00;Twitter Web App
@TerraBrasilnot Mas é um cretininho igual o pai mesmo bem feito porque não chamou o Batman bonitão .;2022-05-21 01:44:14+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:43:55+00:00;Twitter for Android
@cataspella Apanharia muito do batman https://t.co/vwWP3B7hKg;2022-05-21 01:43:24+00:00;Twitter for Android
Moletom, Netflix, meia do batman, sextou bom demais 📽🍿🎥;2022-05-21 01:43:09+00:00;Twitter for iPhone
"bingo de filmes INCEL 

fight club ❌
taxi driver ❌
scarface ❌
pulp fiction ❌
psicopata americano ❌
matrix ❌
drive ❌
donnie darko ❌
lobo de w. street ❌
500 dias com ela ❌
joker ✅
o abutre ❌
o farol ❌
ilha do medo ❌
a outra história americana ❌
the batman ✅ https://t.co/e98XUYFXJJ";2022-05-21 01:42:39+00:00;Twitter for Android
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:42:28+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:42:21+00:00;Twitter for Android
"RT @chrisgonzatti: Asa Noturna e Batman em artes oficiais da DC para comemorar a chegada do verão nos EUA

Hipersexualização de super-herói…";2022-05-21 01:42:15+00:00;Twitter for iPhone
RT @diegoaca: @coimbrasousa batman o que é o que é cai em pé e corre deitado;2022-05-21 01:42:13+00:00;Twitter for Android
Batman versus Robin … estou criando admiração pelo batman #HBOMax;2022-05-21 01:41:28+00:00;Twitter for iPhone
@firestormenta da próxima eu guardo no meu baldinho do batman;2022-05-21 01:40:54+00:00;Twitter for iPhone
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:40:30+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:40:11+00:00;Twitter Web App
Assistindo Batman sem a Camila, sinto que tô traindo ela kkkkkkkkkkkk;2022-05-21 01:39:50+00:00;Twitter for iPhone
@mulamanca01 @JojOnny_VT se eu conseguir jogar eu acho q eu vo se main batman mo brabo;2022-05-21 01:39:15+00:00;Twitter Web App
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:39:08+00:00;Twitter for Android
11. Batman o Cavaleiro das Trevas https://t.co/OeWsRBCMa2;2022-05-21 01:37:56+00:00;Twitter for Android
@victorl83291091 Pra alguém que não acompanha batman, a personalidade inteira de dick grayson está completamente localizada em seus glúteos;2022-05-21 01:37:45+00:00;Twitter for Android
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:37:15+00:00;Twitter Web App
Ainda não vi Batman https://t.co/GRSl3Lucwu;2022-05-21 01:37:10+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:36:54+00:00;Twitter for iPhone
Se não rolou/rola uma orgia no meio do mato eu sou o mordomo do Batman https://t.co/lLenOCvMah;2022-05-21 01:36:37+00:00;Twitter for iPhone
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:36:35+00:00;Twitter for Android
"bingo de filmes INCEL

fight club ✅
taxi driver ✅
scarface  ✅
pulp fiction ✅
psicopata americano✅
matrix ✅
drive ✅
donnie darko ✅
lobo de w. street ❌
500 dias com ela ✅
joker ❌ 
o abutre ❌
o farol ❌
ilha do medo✅
a outra história americana ✅
the batman ✅ https://t.co/qFdYT4lT8C";2022-05-21 01:36:33+00:00;Twitter for iPhone
"Robert Pattinson (The Batman) e Mark Ruffalo (Vingadores: Ultimato) são alguns dos grandes nomes que integram o elenco do próximo filme de Bong Joon-ho, diretor de Parasita.

Saiba mais: https://t.co/EWY0gdxtts";2022-05-21 01:36:32+00:00;Twitter Web App
RT @LegiaoDosHerois: O ano é 2022. Batman do Ben Affleck e o Sonic Feio estão em um filme do Tico e Teco. É esse o tweet. https://t.co/0qnF…;2022-05-21 01:36:28+00:00;Twitter for Android
Exposição do Batman novamente no memorial da América Latina, e novamente irei com toda certeza;2022-05-21 01:35:41+00:00;Twitter for iPhone
@actionfrnk HAHAHAHA GENTE EU TAVA MAIS LOUCA QUE O BATMAN NESSE EPISÓDIO 🤣🤣🤣🤣;2022-05-21 01:35:25+00:00;Twitter for iPhone
Será que eu consigo assistir the Batman hoje.;2022-05-21 01:35:20+00:00;Twitter for Android
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 01:35:18+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:34:56+00:00;Twitter Web App
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 01:34:54+00:00;Twitter for Android
@Metalicbeast1 @YuuAdel sou o batman todos sabem que a única coisa que me aguarda é dor intensa;2022-05-21 01:34:13+00:00;Twitter for Android
RT @eguadico: Chuvas diárias , cidade afundada no lixo e no alagamento sem que a prefeitura se importe, ruas destruídas e desprotegidas, mi…;2022-05-21 01:34:08+00:00;Twitter for Android
"RT @chrisgonzatti: Asa Noturna e Batman em artes oficiais da DC para comemorar a chegada do verão nos EUA

Hipersexualização de super-herói…";2022-05-21 01:33:44+00:00;Twitter for iPhone
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 01:33:38+00:00;Twitter for iPhone
@leorbeir117 @Azteri__ @pedro_reez @Eric_M4gnus @eno_nery @shitpostverdade Jesus e Maomé foram pessoas reais e Batman, hulk não são mitológicos, são fictícios.;2022-05-21 01:33:35+00:00;Twitter for Android
RT @Dc_da_depressao: Quando o assunto é o Batman, a internet tá desse jeito https://t.co/vmVx046wnO;2022-05-21 01:33:12+00:00;Twitter for Android
RT @GuilhermeKotre: KKKKKKKKK AHAM E EU SOU O BATMAN;2022-05-21 01:32:48+00:00;Twitter for iPhone
Sim eu chorei jogando Batman;2022-05-21 01:32:46+00:00;Twitter for Android
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:32:25+00:00;Twitter Web App
"RT @almanaquedisney: Alguns dos milhões de cameos em ‘Tico e Teco: Defensores da Lei’:

• Sonic Feio
• Paul Rudd
• Batman
• Pumba, Mestre L…";2022-05-21 01:32:16+00:00;Twitter for Android
simplesmente assistindo batman!viva a pirataria;2022-05-21 01:31:48+00:00;Twitter for iPhone
@Azteri__ @pedro_reez @ShinDelpino @Eric_M4gnus @eno_nery @shitpostverdade Cada um acredita no que quiser! Porem, Jesus, Jeova, Jaco, Maomé, Zeus, Hulk, Batman e afins... São todos seres MITOLÓGICOS! ponto!;2022-05-21 01:31:37+00:00;Twitter Web App
"bingo de filmes INCEL

fight club ✅
taxi driver ❌
scarface  ❌
pulp fiction ✅
psicopata americano❌
matrix ❌
drive  ❌
donnie darko ❌
lobo de w. street ❌
500 dias com ela ❌
joker ❌
o abutre ❌
o farol ❌
ilha do medo❌
a outra história americana ❌
the batman ✅ https://t.co/e7nNPh8NVd";2022-05-21 01:31:35+00:00;Twitter for Android
Cheguei com o Mc lanche pro Gustavo 15h em casa e ele só abriu agora pra comer KKKKKKKK joguei a batata fora e fritei outra, dessa vez escolhi o brinquedo do Batman só pra combinar com as coisas do nicho do quarto dele 😂;2022-05-21 01:31:31+00:00;Twitter for Android
eu lançaria o popeye, batman, flash e o chaves https://t.co/EsEGlJCBFf;2022-05-21 01:31:08+00:00;Twitter for iPhone
